Team ID,Team Name,Sport
1,AC Milan,Soccer
3,ACF Fiorentina,Soccer
4,AFC Bournemouth,Soccer
6,Ajax,Soccer
7,Al Ahly,Soccer
8,Al-Ahli Saudi FC,Soccer
9,Al-Ain,Soccer
10,Al-Ettifaq,Soccer
11,Al-Hilal,Soccer
12,Al-Ittihad,Soccer
13,Al-Nassr,Soccer
14,Angel City FC,Soccer
15,Arsenal,Soccer
17,AS Monaco,Soccer
18,AS Roma,Soccer
19,Aston Villa,Soccer
20,Atalanta,Soccer
21,Athletic Bilbao,Soccer
22,Atlético Madrid,Soccer
23,Atlético Mineiro,Soccer
24,Barcelona,Soccer
25,Bayer 04 Leverkusen,Soccer
26,Bayern Munich,Soccer
28,Beşiktaş,Soccer
29,Bologna,Soccer
30,Borussia Dortmund,Soccer
31,Borussia Mönchengladbach,Soccer
32,Brentford,Soccer
33,Brentford FC,Soccer
34,Brighton & Hove Albion,Soccer
36,Chelsea FC,Soccer
37,Chicago Red Stars,Soccer
38,Columbus Crew,Soccer
39,Corinthians,Soccer
40,Crystal Palace,Soccer
41,D.C. United,Soccer
42,Espanyol,Soccer
43,Everton FC,Soccer
44,FC Barcelona,Soccer
45,FC Bayern Munich,Soccer
46,FC Cincinnati,Soccer
47,FC Dallas,Soccer
48,FC Köln,Soccer
49,FC Porto,Soccer
50,FC Tokyo,Soccer
51,Fenerbahçe SK,Soccer
52,Fiorentina,Soccer
53,Flamengo,Soccer
54,Fulham FC,Soccer
55,Galatasaray SK,Soccer
56,Getafe CF,Soccer
57,Girona FC,Soccer
58,Gotham FC,Soccer
59,Granada CF,Soccer
60,Houston Dash,Soccer
61,Inter Miami,Soccer
62,Inter Milan,Soccer
63,Internacional,Soccer
64,Ipswich Town,Soccer
65,Juventus,Soccer
66,Kansas City Current,Soccer
67,LA Galaxy,Soccer
68,LAFC,Soccer
69,Lazio,Soccer
70,Leeds United,Soccer
71,Leicester City,Soccer
72,Lille OSC,Soccer
73,Liverpool FC,Soccer
74,Los Angeles FC,Soccer
75,Lyon,Soccer
76,Manchester City,Soccer
77,Manchester United,Soccer
78,Middlesbrough FC,Soccer
