id,name,sport_id,team_id,created_at,updated_at
1,Jonas Hector,1,43,2025-05-29 17:05:08.375,2025-05-29 17:05:08.375
2,Rafael Leão,1,1,2025-05-29 17:05:08.377,2025-05-29 17:05:08.377
3,Theo Hernández,1,1,2025-05-29 17:05:08.377,2025-05-29 17:05:08.377
4,Mike Maignan,1,1,2025-05-29 17:05:08.378,2025-05-29 17:05:08.378
5,Sandro Tonali,1,1,2025-05-29 17:05:08.379,2025-05-29 17:05:08.379
6,Ismaël Bennacer,1,1,2025-05-29 17:05:08.379,2025-05-29 17:05:08.379
7,Zlatan Ibrahimović,1,1,2025-05-29 17:05:08.38,2025-05-29 17:05:08.38
8,Christian Pulisic,1,1,2025-05-29 17:05:08.381,2025-05-29 17:05:08.381
9,Yacine Adli,1,1,2025-05-29 17:05:08.381,2025-05-29 17:05:08.381
10,Ruben Loftus‑Cheek,1,1,2025-05-29 17:05:08.382,2025-05-29 17:05:08.382
11,Yunus Musah,1,1,2025-05-29 17:05:08.382,2025-05-29 17:05:08.382
12,Fikayo Tomori,1,1,2025-05-29 17:05:08.383,2025-05-29 17:05:08.383
13,Nicolás González,1,2,2025-05-29 17:05:08.383,2025-05-29 17:05:08.383
14,Dominic Solanke,1,3,2025-05-29 17:05:08.384,2025-05-29 17:05:08.384
15,Philip Billing,1,3,2025-05-29 17:05:08.384,2025-05-29 17:05:08.384
16,Jefferson Lerma,1,3,2025-05-29 17:05:08.384,2025-05-29 17:05:08.384
17,Ryan Christie,1,3,2025-05-29 17:05:08.385,2025-05-29 17:05:08.385
18,Marcos Senesi,1,3,2025-05-29 17:05:08.386,2025-05-29 17:05:08.386
19,Adam Smith,1,3,2025-05-29 17:05:08.386,2025-05-29 17:05:08.386
20,Lewis Cook,1,3,2025-05-29 17:05:08.387,2025-05-29 17:05:08.387
21,Jaidon Anthony,1,3,2025-05-29 17:05:08.387,2025-05-29 17:05:08.387
22,Neto,1,3,2025-05-29 17:05:08.388,2025-05-29 17:05:08.388
