id,name,sport_id,created_at,updated_at
1,AC Milan,1,2025-05-29 17:05:08.233,2025-05-29 17:05:08.233
2,ACF Fiorentina,1,2025-05-29 17:05:08.234,2025-05-29 17:05:08.234
3,AFC Bournemouth,1,2025-05-29 17:05:08.235,2025-05-29 17:05:08.235
4,Ajax,1,2025-05-29 17:05:08.236,2025-05-29 17:05:08.236
5,Al Ahly,1,2025-05-29 17:05:08.236,2025-05-29 17:05:08.236
6,Al-Ahli Saudi FC,1,2025-05-29 17:05:08.237,2025-05-29 17:05:08.237
7,Al-Ain,1,2025-05-29 17:05:08.238,2025-05-29 17:05:08.238
8,Al-Ettifaq,1,2025-05-29 17:05:08.239,2025-05-29 17:05:08.239
9,Al-Hilal,1,2025-05-29 17:05:08.24,2025-05-29 17:05:08.24
10,Al-Ittihad,1,2025-05-29 17:05:08.241,2025-05-29 17:05:08.241
11,Al-Nassr,1,2025-05-29 17:05:08.242,2025-05-29 17:05:08.242
12,Angel City FC,1,2025-05-29 17:05:08.242,2025-05-29 17:05:08.242
13,Arsenal,1,2025-05-29 17:05:08.243,2025-05-29 17:05:08.243
14,AS Monaco,1,2025-05-29 17:05:08.243,2025-05-29 17:05:08.243
15,AS Roma,1,2025-05-29 17:05:08.244,2025-05-29 17:05:08.244
16,Aston Villa,1,2025-05-29 17:05:08.245,2025-05-29 17:05:08.245
17,Atalanta,1,2025-05-29 17:05:08.245,2025-05-29 17:05:08.245
18,Athletic Bilbao,1,2025-05-29 17:05:08.246,2025-05-29 17:05:08.246
19,Atlético Madrid,1,2025-05-29 17:05:08.246,2025-05-29 17:05:08.246
20,Atlético Mineiro,1,2025-05-29 17:05:08.247,2025-05-29 17:05:08.247
21,Barcelona,1,2025-05-29 17:05:08.248,2025-05-29 17:05:08.248
22,Bayer 04 Leverkusen,1,2025-05-29 17:05:08.248,2025-05-29 17:05:08.248
23,Bayern Munich,1,2025-05-29 17:05:08.249,2025-05-29 17:05:08.249
24,Beşiktaş,1,2025-05-29 17:05:08.25,2025-05-29 17:05:08.25
25,Bologna,1,2025-05-29 17:05:08.25,2025-05-29 17:05:08.25
26,Borussia Dortmund,1,2025-05-29 17:05:08.251,2025-05-29 17:05:08.251
27,Borussia Mönchengladbach,1,2025-05-29 17:05:08.251,2025-05-29 17:05:08.251
28,Brentford,1,2025-05-29 17:05:08.252,2025-05-29 17:05:08.252
29,Brentford FC,1,2025-05-29 17:05:08.252,2025-05-29 17:05:08.252
30,Brighton & Hove Albion,1,2025-05-29 17:05:08.253,2025-05-29 17:05:08.253
31,Chelsea FC,1,2025-05-29 17:05:08.253,2025-05-29 17:05:08.253
32,Chicago Red Stars,1,2025-05-29 17:05:08.254,2025-05-29 17:05:08.254
33,Columbus Crew,1,2025-05-29 17:05:08.255,2025-05-29 17:05:08.255
34,Corinthians,1,2025-05-29 17:05:08.256,2025-05-29 17:05:08.256
35,Crystal Palace,1,2025-05-29 17:05:08.256,2025-05-29 17:05:08.256
36,D.C. United,1,2025-05-29 17:05:08.257,2025-05-29 17:05:08.257
37,Espanyol,1,2025-05-29 17:05:08.258,2025-05-29 17:05:08.258
38,Everton FC,1,2025-05-29 17:05:08.258,2025-05-29 17:05:08.258
39,FC Barcelona,1,2025-05-29 17:05:08.259,2025-05-29 17:05:08.259
40,FC Bayern Munich,1,2025-05-29 17:05:08.259,2025-05-29 17:05:08.259
41,FC Cincinnati,1,2025-05-29 17:05:08.26,2025-05-29 17:05:08.26
42,FC Dallas,1,2025-05-29 17:05:08.26,2025-05-29 17:05:08.26
43,FC Köln,1,2025-05-29 17:05:08.26,2025-05-29 17:05:08.26
44,FC Porto,1,2025-05-29 17:05:08.261,2025-05-29 17:05:08.261
45,FC Tokyo,1,2025-05-29 17:05:08.262,2025-05-29 17:05:08.262
46,Fenerbahçe SK,1,2025-05-29 17:05:08.262,2025-05-29 17:05:08.262
